Trip Id, Route Id, Service Id, Trip Head Sign, Route Name, Monday
218314108,NA,20C-H50C000A-90-A,103-E,NA,No
218314109,NA,20C-H50C000A-90-A,103-O,NA,No
218314110,NA,20C-H50C000A-90-A,103-E,NA,No
218314116,NA,20C-H50C000A-90-A,103-E,NA,No
218314117,NA,20C-H50C000A-90-A,103-E,NA,No
218314119,NA,20C-H50C000A-90-A,103-E,NA,No
218314121,NA,20C-H50C000A-90-A,103-O,NA,No
218314122,NA,20C-H50C000A-90-A,103-E,NA,No
218314124,NA,20C-H50C000A-90-A,103-O,NA,No
218314126,NA,20C-H50C000A-90-A,103-O,NA,No
218314128,NA,20C-H50C000A-90-A,103-O,NA,No
218314129,NA,20C-H50C000A-90-A,103-E,NA,No
218314130,NA,20C-H50C000A-90-A,103-E,NA,No
218314132,NA,20C-H50C000A-90-A,103-O,NA,No
218314134,NA,20C-H50C000A-90-A,103-O,NA,No
218314136,NA,20C-H50C000A-90-A,162-O,NA,No
218314138,NA,20C-H50C000A-90-A,162-O,NA,No
218314139,NA,20C-H50C000A-90-A,162-E,NA,No
218314141,NA,20C-H50C000A-90-A,162-O,NA,No
218314142,NA,20C-H50C000A-90-A,162-E,NA,No
218314143,NA,20C-H50C000A-90-A,371-N,NA,No
218314144,NA,20C-H50C000A-90-A,371-S,NA,No
218314145,NA,20C-H50C000A-90-A,371-N,NA,No
218314146,NA,20C-H50C000A-90-A,371-S,NA,No
218314149,NA,20C-H50C000A-90-A,105-E,NA,No
218314150,NA,20C-H50C000A-90-A,105-E,NA,No
218314151,NA,20C-H50C000A-90-A,105-O,NA,No
218314152,NA,20C-H50C000A-90-A,105-E,NA,No
218314154,NA,20C-H50C000A-90-A,103-O,NA,No
218314155,NA,20C-H50C000A-90-A,103-E,NA,No
218314159,NA,20C-H50C000A-90-A,105-E,NA,No
218314161,NA,20C-H50C000A-90-A,105-E,NA,No
218314162,NA,20C-H50C000A-90-A,105-E,NA,No
218314164,NA,20C-H50C000A-90-A,105-O,NA,No
218314166,NA,20C-H50C000A-90-A,105-O,NA,No
218314168,NA,20C-H50C000A-90-A,103-E,NA,No
218314170,NA,20C-H50C000A-90-A,103-O,NA,No
218314171,NA,20C-H50C000A-90-A,103-E,NA,No
218314173,NA,20C-H50C000A-90-A,103-O,NA,No
218314175,NA,20C-H50C000A-90-A,103-O,NA,No
218314176,NA,20C-H50C000A-90-A,103-E,NA,No
218314178,NA,20C-H50C000A-90-A,103-O,NA,No
218314181,NA,20C-H50C000A-90-A,103-E,NA,No
218314183,NA,20C-H50C000A-90-A,103-O,NA,No
218314184,NA,20C-H50C000A-90-A,103-E,NA,No
218314186,NA,20C-H50C000A-90-A,103-E,NA,No
218314188,NA,20C-H50C000A-90-A,162-O,NA,No
218314189,NA,20C-H50C000A-90-A,162-E,NA,No
218314191,NA,20C-H50C000A-90-A,103-E,NA,No
218314193,NA,20C-H50C000A-90-A,162-O,NA,No
218314194,NA,20C-H50C000A-90-A,103-E,NA,No
218314195,NA,20C-H50C000A-90-A,162-E,NA,No
218314197,NA,20C-H50C000A-90-A,103-O,NA,No
218314199,NA,20C-H50C000A-90-A,103-O,NA,No
218314200,NA,20C-H50C000A-90-A,103-E,NA,No
218314202,NA,20C-H50C000A-90-A,103-O,NA,No
218314204,NA,20C-H50C000A-90-A,103-O,NA,No
218314207,NA,20C-H50C000A-90-A,103-O,NA,No
218314208,NA,20C-H50C000A-90-A,103-E,NA,No
218314210,NA,20C-H50C000A-90-A,103-O,NA,No
218314211,NA,20C-H50C000A-90-A,103-E,NA,No
218314213,NA,20C-H50C000A-90-A,103-O,NA,No
218314217,NA,20C-H50C000A-90-A,103-E,NA,No
218314219,NA,20C-H50C000A-90-A,103-O,NA,No
218314220,NA,20C-H50C000A-90-A,103-E,NA,No
218314222,NA,20C-H50C000A-90-A,103-O,NA,No
218314223,NA,20C-H50C000A-90-A,103-E,NA,No
218314225,NA,20C-H50C000A-90-A,103-O,NA,No
218314226,NA,20C-H50C000A-90-A,103-E,NA,No
218314227,NA,20C-H50C000A-90-A,103-E,NA,No
218314229,NA,20C-H50C000A-90-A,103-O,NA,No
218314231,NA,20C-H50C000A-90-A,103-E,NA,No
218314233,NA,20C-H50C000A-90-A,103-O,NA,No
218314234,NA,20C-H50C000A-90-A,103-E,NA,No
218314236,NA,20C-H50C000A-90-A,162-O,NA,No
218314238,NA,20C-H50C000A-90-A,105-E,NA,No
218314240,NA,20C-H50C000A-90-A,100-O,NA,No
218314241,NA,20C-H50C000A-90-A,100-E,NA,No
218314243,NA,20C-H50C000A-90-A,100-E,NA,No
218314245,NA,20C-H50C000A-90-A,93-E,NA,No
218314246,NA,20C-H50C000A-90-A,93-O,NA,No
218314249,NA,20C-H50C000A-90-A,103-E,NA,No
218314251,NA,20C-H50C000A-90-A,103-O,NA,No
218314252,NA,20C-H50C000A-90-A,103-E,NA,No
218314254,NA,20C-H50C000A-90-A,103-O,NA,No
218314255,NA,20C-H50C000A-90-A,103-E,NA,No
218314257,NA,20C-H50C000A-90-A,103-O,NA,No
218314258,NA,20C-H50C000A-90-A,103-E,NA,No
218314259,NA,20C-H50C000A-90-A,103-E,NA,No
218314261,NA,20C-H50C000A-90-A,103-O,NA,No
218314263,NA,20C-H50C000A-90-A,103-O,NA,No
218314264,NA,20C-H50C000A-90-A,103-E,NA,No
218314266,NA,20C-H50C000A-90-A,162-O,NA,No
218314267,NA,20C-H50C000A-90-A,162-E,NA,No
218314269,NA,20C-H50C000A-90-A,105-O,NA,No
218314270,NA,20C-H50C000A-90-A,105-E,NA,No
218314272,NA,20C-H50C000A-90-A,105-O,NA,No
218314273,NA,20C-H50C000A-90-A,105-E,NA,No
218314274,NA,20C-H50C000A-90-A,105-O,NA,No
218314275,NA,20C-H50C000A-90-A,105-E,NA,No
218314276,NA,20C-H50C000A-90-A,105-O,NA,No
218314277,NA,20C-H50C000A-90-A,105-O,NA,No
218314279,NA,20C-H50C000A-90-A,103-E,NA,No
218314280,NA,20C-H50C000A-90-A,160-E,NA,No
218314281,NA,20C-H50C000A-90-A,162-E,NA,No
218314286,NA,20C-H50C000A-90-A,105-E,NA,No
218314287,NA,20C-H50C000A-90-A,105-O,NA,No
218314288,NA,20C-H50C000A-90-A,105-O,NA,No
218314290,NA,20C-H50C000A-90-A,103-E,NA,No
218314291,NA,20C-H50C000A-90-A,105-O,NA,No
218314293,NA,20C-H50C000A-90-A,103-O,NA,No
218314295,NA,20C-H50C000A-90-A,103-O,NA,No
218314297,NA,20C-H50C000A-90-A,100-O,NA,No
218314299,NA,20C-H50C000A-90-A,103-E,NA,No
218314301,NA,20C-H50C000A-90-A,103-O,NA,No
218314302,NA,20C-H50C000A-90-A,103-E,NA,No
218314304,NA,20C-H50C000A-90-A,103-O,NA,No
218314307,NA,20C-H50C000A-90-A,105-E,NA,No
218314309,NA,20C-H50C000A-90-A,105-O,NA,No
218314310,NA,20C-H50C000A-90-A,105-E,NA,No
218314312,NA,20C-H50C000A-90-A,105-O,NA,No
218314313,NA,20C-H50C000A-90-A,105-E,NA,No
218314315,NA,20C-H50C000A-90-A,105-O,NA,No
218314316,NA,20C-H50C000A-90-A,105-E,NA,No
218314318,NA,20C-H50C000A-90-A,105-E,NA,No
218314320,NA,20C-H50C000A-90-A,105-O,NA,No
218314321,NA,20C-H50C000A-90-A,105-E,NA,No
218314324,NA,20C-H50C000A-90-A,105-E,NA,No
218314326,NA,20C-H50C000A-90-A,105-E,NA,No
218314327,NA,20C-H50C000A-90-A,105-O,NA,No
218314328,NA,20C-H50C000A-90-A,105-E,NA,No
218314330,NA,20C-H50C000A-90-A,105-E,NA,No
218314333,NA,20C-H50C000A-90-A,105-E,NA,No
218314335,NA,20C-H50C000A-90-A,166-N,NA,No
218314337,NA,20C-H50C000A-90-A,105-E,NA,No
218314339,NA,20C-H50C000A-90-A,105-E,NA,No
218314341,NA,20C-H50C000A-90-A,105-E,NA,No
218314343,NA,20C-H50C000A-90-A,105-O,NA,No
218314344,NA,20C-H50C000A-90-A,105-E,NA,No
218314346,NA,20C-H50C000A-90-A,105-O,NA,No
218314347,NA,20C-H50C000A-90-A,105-E,NA,No
218314349,NA,20C-H50C000A-90-A,105-O,NA,No
218314350,NA,20C-H50C000A-90-A,105-E,NA,No
218314352,NA,20C-H50C000A-90-A,105-O,NA,No
218314353,NA,20C-H50C000A-90-A,105-E,NA,No
218314355,NA,20C-H50C000A-90-A,105-O,NA,No
218314357,NA,20C-H50C000A-90-A,105-E,NA,No
218314359,NA,20C-H50C000A-90-A,105-E,NA,No
218314360,NA,20C-H50C000A-90-A,105-O,NA,No
218314361,NA,20C-H50C000A-90-A,105-E,NA,No
218314363,NA,20C-H50C000A-90-A,105-O,NA,No
218314364,NA,20C-H50C000A-90-A,105-E,NA,No
218314366,NA,20C-H50C000A-90-A,105-O,NA,No
218314367,NA,20C-H50C000A-90-A,105-E,NA,No
218314369,NA,20C-H50C000A-90-A,105-O,NA,No
218314370,NA,20C-H50C000A-90-A,105-E,NA,No
218314372,NA,20C-H50C000A-90-A,105-O,NA,No
218314373,NA,20C-H50C000A-90-A,105-E,NA,No
218314375,NA,20C-H50C000A-90-A,105-O,NA,No
218314377,NA,20C-H50C000A-90-A,105-O,NA,No
218314378,NA,20C-H50C000A-90-A,105-E,NA,No
218314380,NA,20C-H50C000A-90-A,105-O,NA,No
218314381,NA,20C-H50C000A-90-A,105-E,NA,No
218314383,NA,20C-H50C000A-90-A,105-O,NA,No
218314385,NA,20C-H50C000A-90-A,105-O,NA,No
218314388,NA,20C-H50C000A-90-A,162-E,NA,No
218314389,NA,20C-H50C000A-90-A,162-O,NA,No
218314390,NA,20C-H50C000A-90-A,162-E,NA,No
218314391,NA,20C-H50C000A-90-A,162-O,NA,No
218314392,NA,20C-H50C000A-90-A,162-O,NA,No
218314393,NA,20C-H50C000A-90-A,162-E,NA,No
218314394,NA,20C-H50C000A-90-A,105-E,NA,No
218314395,NA,20C-H50C000A-90-A,105-O,NA,No
218314396,NA,20C-H50C000A-90-A,105-E,NA,No
218314397,NA,20C-H50C000A-90-A,105-O,NA,No
218314398,NA,20C-H50C000A-90-A,105-E,NA,No
218314399,NA,20C-H50C000A-90-A,105-O,NA,No
218314400,NA,20C-H50C000A-90-A,105-E,NA,No
218314402,NA,20C-H50C000A-90-A,103-O,NA,No
218314409,NA,20C-H50C000A-90-A,105-O,NA,No
218314410,NA,20C-H50C000A-90-A,105-E,NA,No
218314412,NA,20C-H50C000A-90-A,105-O,NA,No
218314413,NA,20C-H50C000A-90-A,105-E,NA,No
218314415,NA,20C-H50C000A-90-A,105-O,NA,No
218314416,NA,20C-H50C000A-90-A,105-E,NA,No
218314418,NA,20C-H50C000A-90-A,105-O,NA,No
218314419,NA,20C-H50C000A-90-A,105-E,NA,No
218314420,NA,20C-H50C000A-90-A,105-O,NA,No
